
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:56264        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56265        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56266        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56267        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56268        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56269        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56270        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56271        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56272        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56273        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56274        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56275        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56276        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56277        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56278        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56279        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56280        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56281        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56282        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56283        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56284        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56285        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56286        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56287        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56288        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56489        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56490        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56491        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56492        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56493        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56494        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56495        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56496        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56497        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56498        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56499        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56500        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56501        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56502        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56503        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56504        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56505        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56506        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56507        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56508        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56509        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56510        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56511        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56512        127.0.0.1:64639        TIME_WAIT       0
  TCP    127.0.0.1:56513        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56514        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56515        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56516        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56517        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56518        127.0.0.1:49350        TIME_WAIT       0
