
Image Name                     PID Session Name        Session#    Mem Usage
WidgetService.exe            21624 Console                    6      5,132 K
msedgewebview2.exe           17516 Console                    6     30,468 K
msedgewebview2.exe           16948 Console                    6      3,044 K
msedgewebview2.exe            6104 Console                    6      9,912 K
msedgewebview2.exe            7072 Console                    6     11,652 K
msedgewebview2.exe           27084 Console                    6      5,488 K
msedgewebview2.exe           17768 Console                    6     14,068 K
ctfmon.exe                   16660 Console                    6     13,616 K
TextInputHost.exe             8304 Console                    6     45,480 K
SecurityHealthSystray.exe    24584 Console                    6      4,076 K
RtkAudUService64.exe         10576 Console                    6      3,180 K
Code.exe                     21752 Console                    6     53,080 K
Code.exe                     10280 Console                    6      4,864 K
Code.exe                     20176 Console                    6     11,396 K
Code.exe                     13544 Console                    6     18,568 K
Code.exe                     12428 Console                    6   1,24,960 K
Code.exe                     16424 Console                    6     68,496 K
Code.exe                     17544 Console                    6     24,324 K
Code.exe                     15148 Console                    6     82,232 K
Code.exe                     13296 Console                    6     18,388 K
Antigravity.exe              19760 Console                    6   1,49,920 K
conhost.exe                  25584 Console                    6      2,792 K
bash.exe                     11568 Console                    6        980 K
bash.exe                     30688 Console                    6      1,256 K
Antigravity.exe              27964 Console                    6     10,724 K
Antigravity.exe              27632 Console                    6   1,73,964 K
Antigravity.exe               4168 Console                    6     22,584 K
Antigravity.exe                836 Console                    6   9,26,812 K
Antigravity.exe              19820 Console                    6     23,184 K
Antigravity.exe              20072 Console                    6     64,296 K
Antigravity.exe              28352 Console                    6     42,644 K
Antigravity.exe              30640 Console                    6   1,50,524 K
Antigravity.exe              22212 Console                    6   1,13,704 K
figma_agent.exe              25232 Console                    6      5,600 K
Antigravity.exe              11960 Console                    6     52,496 K
Antigravity.exe              17284 Console                    6   1,66,784 K
codex.exe                    26368 Console                    6      2,412 K
conhost.exe                  24276 Console                    6      1,036 K
Antigravity.exe              10704 Console                    6     28,280 K
chrome.exe                   27612 Console                    6   1,07,776 K
chrome.exe                   15068 Console                    6      3,764 K
chrome.exe                   30216 Console                    6     62,448 K
chrome.exe                    9644 Console                    6     34,592 K
chrome.exe                    2772 Console                    6      8,688 K
chrome.exe                   24628 Console                    6     11,860 K
chrome.exe                   29980 Console                    6     12,744 K
chrome.exe                   16672 Console                    6     56,296 K
conhost.exe                   1152 Console                    6      3,484 K
